Time (s),Raw Value,Moisture (%)
7.15,962,9.9
8.15,959,10.4
9.16,955,11.1
10.16,955,11.1
11.17,951,11.7
12.17,947,12.4
13.17,944,12.8
14.18,947,12.4
15.18,939,13.7
16.19,936,14.1
17.2,932,14.8
18.2,931,15
19.2,928,15.4
20.21,926,15.8
21.21,924,16.1
22.22,924,16.1
23.22,924,16.1
24.23,923,16.3
25.23,923,16.3
26.24,924,16.1
27.24,923,16.3
28.25,922,16.4
29.25,922,16.4
30.26,923,16.3
31.26,924,16.1
32.27,922,16.4
33.27,918,17.1
34.28,912,18
35.28,914,17.7
36.29,912,18
37.29,908,18.7
38.3,907,18.9
39.3,909,18.5
